Record_num,Acceleration,Cylinders,Displacement,Horsepower,Manufacturer,Model,Model_Year,MPG,Origin,Weight
1,12,8,307,130,chevrolet    ,chevrolet chevelle malibu        ,70,18,USA    ,3504
2,11.5,8,350,165,buick        ,buick skylark 320                ,70,15,USA    ,3693
3,11,8,318,150,plymouth     ,plymouth satellite               ,70,18,USA    ,3436
4,12,8,304,150,amc          ,amc rebel sst                    ,70,16,USA    ,3433
5,10.5,8,302,140,ford         ,ford torino                      ,70,17,USA    ,3449
6,10,8,429,198,ford         ,ford galaxie 500                 ,70,15,USA    ,4341
7,9,8,454,220,chevrolet    ,chevrolet impala                 ,70,14,USA    ,4354
8,8.5,8,440,215,plymouth     ,plymouth fury iii                ,70,14,USA    ,4312
9,10,8,455,225,pontiac      ,pontiac catalina                 ,70,14,USA    ,4425
10,8.5,8,390,190,amc          ,amc ambassador dpl               ,70,15,USA    ,3850